time,swell_height,z,eastward_velocity,upward_velocity,northward_velocity,moles_of_oxygen_per_unit_mass,density,electrical_conductivity,pressure,practical_salinity,temperature,flubsct,cdomflo,mass_concentration_of_chlorophyll_a,downwelling_photosynthetic_photon_flux
2020-07-01T09:09:00Z,1.08,-409.0,-0.2814795932,0.0240063494,0.0091194463,157.1612345568,1029.2916311252,36.3756458333,412.6852083333,35.1427061057,7.8334666667,0.0012680793,0.8432,0.0106,-0.4593431287
2020-07-01T15:09:00Z,1.17,-164.0,-0.2457432047,-0.0029727429,0.037097828,149.2643898848,1027.5751309971,41.8939342105,164.8976315789,35.6248435482,13.2041157895,8.165883E-4,0.6324,0.0,-0.0398515892
2020-07-01T21:09:00Z,1.08,-408.0,-0.1781302585,-0.0029090865,-0.0242881505,151.8861530939,1029.2531236969,36.6868458333,411.9695833333,35.1615059392,8.1482458333,0.0015617436,0.7905,0.0,-0.0398515892
2020-07-02T03:09:00Z,1.06,-131.0,-0.1868666575,-0.0033294941,0.084382603,193.2091323016,1027.2858306508,41.5439833333,132.0216666667,35.410361673,13.0922416667,9.973021E-4,0.7905,0.0,0.3796398503
2020-07-02T09:09:00Z,1.16,-409.0,-0.1803334457,0.0041060538,0.0938697221,148.0342992997,1029.2184825744,36.9735291667,412.2841666667,35.1757753728,8.4398166667,0.0013810527,1.0013,0.0106,-0.8788345682
2020-07-02T15:09:00Z,0.90,-133.0,-0.1417437749,-0.1936599561,0.1252413886,197.4179320575,1027.2395392893,42.0588,133.57,35.4657364369,13.5563,8.392042E-4,0.7905,0.0,-0.6690888484
2020-07-02T21:09:00Z,1.13,-409.0,-0.1804689753,-0.1321923931,0.1027948534,158.8818536288,1029.296605852,36.3065469388,412.1567346939,35.1382191762,7.7640571429,0.0015842987,0.8432,0.0106,-0.0398515892
2020-07-03T03:09:00Z,0.94,-180.0,-0.1849777626,-0.0301321906,-0.0688293874,139.2702361618,1027.7152852058,41.420562,181.235,35.5919426743,12.750322,8.617485E-4,0.7905,-0.0106,-0.0398515892
2020-07-03T09:09:00Z,1.18,-410.0,-0.1817380765,0.0447582567,0.0189309894,156.4845262396,1029.2808919793,36.4688875,413.4541666667,35.1442810292,7.9314791667,0.0013810243,0.8959,0.0318,0.1698939306
2020-07-03T15:09:00Z,1.77,-207.0,-0.2287166196,0.0168493191,-1.943928E-4,146.6466365345,1027.9069459469,40.1311,208.21,35.3964015472,11.6213333333,9.972305E-4,0.8432,0.0212,1.0088768096
2020-07-03T21:09:00Z,1.62,-409.0,-0.2065270842,0.0386880623,0.047952349,150.7787215736,1029.2346572224,36.8308625,412.6079166667,35.1651113812,8.2981791667,0.0012906953,0.8959,0.0106,-0.6690888484
2020-07-04T03:09:00Z,1.33,-257.0,-0.162065405,-0.0103457026,0.0412545542,138.9207354681,1028.3669375229,38.4098673469,258.9783673469,35.2912538352,9.9145653061,0.001064921,0.7905,0.0318,-0.4593431287
2020-07-04T09:09:00Z,1.10,-409.0,-0.1850228095,0.0062675448,0.0967765202,150.1691488546,1029.2288143795,36.8985918367,412.7869387755,35.170477046,8.3649877551,0.0022619667,0.8432,0.0212,-0.6690888484
2020-07-04T15:09:00Z,0.77,-204.0,-0.0936684538,0.0227171643,-0.0240978277,140.3735551459,1027.8921270796,40.5859875,205.9058333333,35.4847139612,11.9982645833,9.520658E-4,0.7905,0.0212,1.4283684491
